county,fips5,bridge,county_name,individuals_amphibian,individuals_bird,records_amphibian,records_bird,species_n_amphibian,species_n_bird,sentinel_species,best_tier_w,sentinel_records,best_tier,host_species,frs_facilities,spoke_chemicals_found,spoke_sdoh_measures,adult_asthma_pct,per_capita_income,cm_cities,rcms,climate_papers,lat,lon,total_species,total_records,pfas_samples_in_county,log_facilities,n_sentinel_species,n_best_tier_w,n_host_species,n_log_facilities,n_total_species,n_adult_asthma_pct,priority,rank,conf_tier,evidence,sources_n,sources
Orange County,12095,verified L8,Orange,276.0,208.0,24.0,86.0,24.0,86.0,11.0,5.0,11.0,M,4.0,8727,147,1138,8.3,31409,12,3,14,28.49932056076961,-81.57973854557652,110.0,110.0,0,3.9408649759667216,1.0,1.0,1.0,0.9872677585940045,1.0,0.27586206896551746,0.9622652344795564,1,A,"11 sentinel-capable sp. (best tier M); 4 pathogen-host sp.; 110 spp. observed (86 bird / 24 amphibian); 8,727 EPA FRS facilities; adult asthma 8.3%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Miami-Dade County,12086,verified L8,Miami-Dade,344.0,179.0,19.0,88.0,19.0,88.0,4.0,4.0,4.0,I1,4.0,9284,146,1128,7.7,29598,51,3,50,25.58527936881842,-80.70451265047141,107.0,107.0,0,3.96773513178388,0.36363636363636365,0.8,1.0,1.0,0.9724770642201835,0.06896551724137936,0.718961203301602,2,A,"4 sentinel-capable sp. (best tier I1); 4 pathogen-host sp.; 107 spp. observed (88 bird / 19 amphibian); 9,284 EPA FRS facilities; adult asthma 7.7%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Palm Beach County,12099,verified L8,Palm Beach,77.0,116.0,19.0,62.0,19.0,62.0,5.0,3.0,5.0,I2,4.0,6717,150,1127,8.0,40957,17,3,9,26.69963254942522,-79.99199953131671,81.0,81.0,0,3.8271753482986925,0.45454545454545453,0.6,1.0,0.9333966982742596,0.7339449541284404,0.17241379310344826,0.6724047738484171,3,A,"5 sentinel-capable sp. (best tier I2); 4 pathogen-host sp.; 81 spp. observed (62 bird / 19 amphibian); 6,717 EPA FRS facilities; adult asthma 8.0%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Brevard County,12009,verified L8,Brevard,86.0,121.0,13.0,71.0,13.0,71.0,6.0,4.0,6.0,I1,0.0,3929,149,1120,8.3,33662,7,3,21,28.24594282536288,-80.83038906677767,84.0,84.0,0,3.594282028811806,0.5454545454545454,0.8,0.0,0.8230417756706049,0.7614678899082569,0.27586206896551746,0.5351853058531855,4,A,"6 sentinel-capable sp. (best tier I1); 0 pathogen-host sp.; 84 spp. observed (71 bird / 13 amphibian); 3,929 EPA FRS facilities; adult asthma 8.3%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Alachua County,12001,verified L8,Alachua,281.0,158.0,26.0,73.0,26.0,73.0,5.0,4.0,5.0,I1,0.0,1505,144,1107,9.1,29821,1,3,7,29.747679364377905,-82.4299425913659,99.0,99.0,0,3.1775364999298623,0.45454545454545453,0.8,0.0,0.6255697284409478,0.8990825688073395,0.5517241379310343,0.515898944618056,5,A,"5 sentinel-capable sp. (best tier I1); 0 pathogen-host sp.; 99 spp. observed (73 bird / 26 amphibian); 1,505 EPA FRS facilities; adult asthma 9.1%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Polk County,12105,verified L8,Polk,187.0,44.0,26.0,36.0,26.0,36.0,2.0,5.0,2.0,M,1.0,5182,144,1127,9.0,25820,6,3,0,27.675916725573828,-81.48039780891368,62.0,62.0,0,3.714497408649806,0.18181818181818182,1.0,0.25,0.8800050194726172,0.5596330275229358,0.5172413793103448,0.5087604194256675,6,A,"2 sentinel-capable sp. (best tier M); 1 pathogen-host sp.; 62 spp. observed (36 bird / 26 amphibian); 5,182 EPA FRS facilities; adult asthma 9.0%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Wakulla County,12129,verified L8,Wakulla,119.0,57.0,32.0,41.0,32.0,41.0,5.0,3.0,5.0,I2,2.0,188,140,991,8.6,28320,0,0,0,30.123200465558657,-84.60080170880354,73.0,73.0,0,2.27415784926368,0.45454545454545453,0.6,0.5,0.19750987126812758,0.6605504587155964,0.379310344827586,0.4849018977902184,7,A,5 sentinel-capable sp. (best tier I2); 2 pathogen-host sp.; 73 spp. observed (41 bird / 32 amphibian); 188 EPA FRS facilities; adult asthma 8.6%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Hillsborough County,12057,verified L8,Hillsborough,298.0,72.0,24.0,38.0,24.0,38.0,1.0,3.0,1.0,I2,2.0,8368,144,1139,8.1,33616,23,3,1,28.010145477152573,-82.418986425114,62.0,62.0,0,3.922621671523199,0.09090909090909091,0.6,0.5,0.9786232923021615,0.5596330275229358,0.2068965517241378,0.44780464351317517,8,A,"1 sentinel-capable sp. (best tier I2); 2 pathogen-host sp.; 62 spp. observed (38 bird / 24 amphibian); 8,368 EPA FRS facilities; adult asthma 8.1%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Leon County,12073,verified L8,Leon,101.0,19.0,23.0,16.0,23.0,16.0,3.0,5.0,3.0,M,0.0,1792,141,1093,9.1,31778,1,3,0,30.45472026465805,-84.28561742869873,39.0,39.0,0,3.2533380053261065,0.2727272727272727,1.0,0.0,0.6614877585487803,0.3486238532110092,0.5517241379310343,0.43410402065801834,9,A,"3 sentinel-capable sp. (best tier M); 0 pathogen-host sp.; 39 spp. observed (16 bird / 23 amphibian); 1,792 EPA FRS facilities; adult asthma 9.1%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Pinellas County,12103,verified L8,Pinellas,25.0,54.0,9.0,40.0,9.0,40.0,3.0,3.0,3.0,I2,1.0,4891,149,1122,8.7,36754,12,3,5,27.865651551173222,-82.9842005084923,49.0,49.0,0,3.6893976628212823,0.2727272727272727,0.6,0.25,0.8681116748529399,0.44036697247706424,0.4137931034482756,0.4339289443949667,10,A,"3 sentinel-capable sp. (best tier I2); 1 pathogen-host sp.; 49 spp. observed (40 bird / 9 amphibian); 4,891 EPA FRS facilities; adult asthma 8.7%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
