DTXSID,abbr,chemLabel,assayName,entrez,ac50_uM
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ACEA_AR_agonist_AUC_viability,None,21.0142915684932
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ACEA_AR_antagonist_80hr,367,23.6147614114887
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ACEA_AR_antagonist_AUC_viability,None,20.6962145546675
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",APR_HepG2_CellCycleArrest_24h_dn,None,80.5684625154571
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",APR_HepG2_CellCycleArrest_72h_dn,None,86.7747211213859
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",APR_HepG2_CellLoss_24h_dn,None,97.8808311760375
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",APR_HepG2_CellLoss_72h_dn,None,60.6398119728525
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",APR_HepG2_MitoMembPot_24h_dn,None,70.2253709590095
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",APR_HepG2_MitoticArrest_24h_up,3020,100.948942543838
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",APR_HepG2_MitoticArrest_72h_up,3020,72.2231175247163
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",APR_HepG2_NuclearSize_72h_dn,None,81.3454120710296
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",APR_HepG2_P-H2AX_24h_up,3014,74.0869268536467
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",APR_HepG2_P-H2AX_72h_up,3014,66.4210988110574
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",APR_HepG2_p53Act_72h_up,7157,51.701481543973
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_CRE_CIS_up,10488,26.6668545538339
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_DR5_CIS_up,5914,19.3186963798586
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_EGR_CIS_up,1958,26.7628417936298
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_ERE_CIS_up,2099,4.35678777518172
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_ERa_TRANS_up,2099,27.3815741915742
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_GLI_CIS_up,2735,49.0746027781043
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_HIF1a_CIS_up,3091,28.0432337699562
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_HNF4a_TRANS_up,3172,43.6536498795255
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_HSE_CIS_up,3297,49.073074667374
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_MRE_CIS_up,4520,38.1972862512617
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_Myc_CIS_up,4609,32.9987649975857
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_NFI_CIS_up,4774,44.3322969911111
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_NRF1_CIS_up,4899,49.0780671616253
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_NRF2_ARE_CIS_up,4780,5.77729603981197
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_Oct_MLP_CIS_up,5451,27.9034812490266
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_PBREM_CIS_up,9970,29.3252726679766
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_PPARg_TRANS_up,5468,2.00275493565761
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_PPRE_CIS_up,5465,0.929764174038921
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_PXRE_CIS_up,8856,6.1591226865685
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_PXR_TRANS_up,8856,6.66247622867322
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_Pax6_CIS_up,5080,26.7532138643633
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_RORE_CIS_up,6095,20.191507517471
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_SREBP_CIS_up,6720,18.3543220167813
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_Sox_CIS_up,6656,24.1866607838041
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_Sp1_CIS_up,6667,34.2804115609906
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_TGFb_CIS_up,7040,41.0771674972707
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_THRa1_TRANS_up,7067,38.3953709850441
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_VDRE_CIS_up,7421,20.9037184407751
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_Xbp1_CIS_up,7494,26.7093519840693
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_frER2_XSP1_up,100174814,6.87825532564623
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_frTRa_XSP1_up,397942,3.67212487090923
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_frTRa_XSP2_up,397942,5.15683829288752
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_hPPARg_XSP1_up,5468,2.18334475253707
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_hPPARg_XSP2_up,5468,3.5102255515283
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_hTRa_XSP1_up,7067,3.16566053145402
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_mPPARg_XSP1_up,19016,2.41141652096236
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_mPPARg_XSP2_up,19016,3.49845652706385
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_zfPPARg_XSP1_up,557037,8.4705061283189
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_zfPPARg_XSP2_up,557037,8.69465039594183
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",ATG_zfTRb_XSP1_up,30607,11.9960341934339
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",BSK_3C_Eselectin_down,6401,10.0
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",BSK_3C_HLADR_down,3122,39.9999999974246
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",BSK_3C_ICAM1_down,3383,39.9999999974246
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",BSK_3C_IL8_down,3576,39.9999999974246
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",BSK_3C_MCP1_down,6347,39.9999999974246
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",BSK_3C_MIG_down,4283,39.9999999974246
DTXSID1026081,TBBPA,"3,3',5,5'-Tetrabromobisphenol A",BSK_3C_Proliferation_down,None,39.9999999974246
